FactGLTranID,JournalID,GLTranDescription,GLTranAmount,GLTranDate,GLAccNum,GLAcctName,Statement,Category,Subcategory,StoreNum,StoreName,ManagerID,PreviousManagerID,ContactTel,AddressLine1,AddressLine2,ZipCode,RegionNum,RegionName,SalesRegionName,LastRefreshDate
23,1647,Term Loan - Interest Payment,22152.780,2020-09-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
24,164,Term Loan - Interest Payment,22013.890,2020-10-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
25,170,Term Loan - Interest Payment,21875.000,2020-11-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
26,760,Term Loan - Interest Payment,21736.110,2020-12-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
27,1815,Term Loan - Interest Payment,21527.780,2021-01-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
28,1506,Term Loan - Interest Payment,21458.330,2021-02-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
29,971,Term Loan - Interest Payment,21319.440,2021-03-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
30,46,Term Loan - Interest Payment,21180.560,2021-04-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
31,623,Term Loan - Interest Payment,21041.670,2021-05-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
32,806,Term Loan - Interest Payment,20902.780,2021-06-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
33,787,Term Loan - Interest Payment,20763.890,2021-07-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
34,838,Term Loan - Interest Payment,20625.000,2021-08-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
35,64,Term Loan - Interest Payment,20486.110,2021-09-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
36,1858,Term Loan - Interest Payment,20347.220,2021-10-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
37,1173,Term Loan - Interest Payment,20208.330,2021-11-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
38,19,Term Loan - Interest Payment,20069.440,2021-12-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
39,1828,Term Loan - Principal Payment,2777.780,2019-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
40,1540,Term Loan - Principal Payment,2777.780,2019-02-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
41,1682,Term Loan - Principal Payment,2777.780,2019-03-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
42,878,Term Loan - Principal Payment,2777.780,2019-04-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
43,894,Term Loan - Principal Payment,2777.780,2019-05-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
44,1003,Term Loan - Principal Payment,2777.780,2019-06-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
45,1823,Term Loan - Principal Payment,2777.780,2019-07-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
46,1263,Term Loan - Principal Payment,2777.780,2019-08-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
47,994,Term Loan - Principal Payment,2777.780,2019-09-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
48,1310,Term Loan - Principal Payment,2777.780,2019-10-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
49,749,Term Loan - Principal Payment,2777.780,2019-11-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
50,881,Term Loan - Principal Payment,2777.780,2019-12-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
51,184,Term Loan - Principal Payment,2777.780,2020-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
52,946,Term Loan - Principal Payment,2777.780,2020-02-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
53,178,Term Loan - Principal Payment,2777.780,2020-03-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
54,331,Term Loan - Principal Payment,2777.780,2020-04-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
55,259,Term Loan - Principal Payment,2777.780,2020-05-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
56,1586,Term Loan - Principal Payment,2777.780,2020-06-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
57,1499,Term Loan - Principal Payment,2777.780,2020-07-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
58,902,Term Loan - Principal Payment,2777.780,2020-08-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
59,1647,Term Loan - Principal Payment,2777.780,2020-09-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
60,164,Term Loan - Principal Payment,2777.780,2020-10-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
61,170,Term Loan - Principal Payment,2777.780,2020-11-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
62,760,Term Loan - Principal Payment,2777.780,2020-12-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
63,1815,Term Loan - Principal Payment,2777.780,2021-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
64,1506,Term Loan - Principal Payment,2777.780,2021-02-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
65,971,Term Loan - Principal Payment,2777.780,2021-03-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
66,46,Term Loan - Principal Payment,2777.780,2021-04-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
67,623,Term Loan - Principal Payment,2777.780,2021-05-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
68,806,Term Loan - Principal Payment,2777.780,2021-06-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
69,787,Term Loan - Principal Payment,2777.780,2021-07-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
70,838,Term Loan - Principal Payment,2777.780,2021-08-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
71,64,Term Loan - Principal Payment,2777.780,2021-09-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
72,1858,Term Loan - Principal Payment,2777.780,2021-10-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
73,1173,Term Loan - Principal Payment,2777.780,2021-11-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
74,19,Term Loan - Principal Payment,2777.780,2021-12-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
75,1828,Term Loan - Interest & Principal Payment,-27638.890,2019-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
76,1540,Term Loan - Interest & Principal Payment,-27569.450,2019-02-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
77,1682,Term Loan - Interest & Principal Payment,-27430.560,2019-03-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
78,878,Term Loan - Interest & Principal Payment,-27291.670,2019-04-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
79,894,Term Loan - Interest & Principal Payment,-27152.780,2019-05-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
80,1003,Term Loan - Interest & Principal Payment,-27013.890,2019-06-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
81,1823,Term Loan - Interest & Principal Payment,-26875.000,2019-07-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
82,1263,Term Loan - Interest & Principal Payment,-26736.110,2019-08-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
83,994,Term Loan - Interest & Principal Payment,-26597.220,2019-09-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
84,1310,Term Loan - Interest & Principal Payment,-26458.340,2019-10-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
85,749,Term Loan - Interest & Principal Payment,-26319.450,2019-11-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
86,881,Term Loan - Interest & Principal Payment,-26180.560,2019-12-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
87,184,Term Loan - Interest & Principal Payment,-25972.220,2020-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
88,946,Term Loan - Interest & Principal Payment,-25902.780,2020-02-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
89,178,Term Loan - Interest & Principal Payment,-25763.890,2020-03-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
90,331,Term Loan - Interest & Principal Payment,-25625.000,2020-04-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
91,259,Term Loan - Interest & Principal Payment,-25486.110,2020-05-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
92,1586,Term Loan - Interest & Principal Payment,-25347.220,2020-06-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
93,1499,Term Loan - Interest & Principal Payment,-25208.340,2020-07-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
94,902,Term Loan - Interest & Principal Payment,-25069.450,2020-08-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
95,1647,Term Loan - Interest & Principal Payment,-24930.560,2020-09-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
96,164,Term Loan - Interest & Principal Payment,-24791.670,2020-10-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
97,170,Term Loan - Interest & Principal Payment,-24652.780,2020-11-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
98,760,Term Loan - Interest & Principal Payment,-24513.890,2020-12-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
99,1815,Term Loan - Interest & Principal Payment,-24305.560,2021-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
100,1506,Term Loan - Interest & Principal Payment,-24236.110,2021-02-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2024-06-01 22:37:29.8070000
